"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"110,M1AZSP5,""MEN STRIPE 5, RED TWILIGHT GRAY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"111,L3CA23,""LADIES CLASSIC 23, NAVY GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"112,L2AZCA28,""Ladies Classic 28, Ballet Rose"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"113,L2AZCA30,""Ladies Classic 30, Bleach Sand"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"114,L3CA30,""LADIES CLASSIC 30, BLEACH SAND"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"115,L2AZCA7,""Ladies Classic 7, Ginger Snap"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"116,M1AZDL1,""MAN DALLAS 1, JET BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"117,M1AZDL3,""MAN DALLAS 3, GRAY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"118,M1AZDL4,""MAN DALLAS 4, BROWN BROWN"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"119,M1AZZDL2,""MEN DALLAS 2, NAVY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"120,SJ1ASL1,""Men Slide 1, Black"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"121,SJ1ASL2,""Men Slide 2, Navy"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"122,SJ1ASL3,""Men Slide 3, Army Black"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"123,SJ1ASL4,""Men Slide 4, Army Navy"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"124,SJ1ASL5,""Men Slide 5, Black Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"125,SJ1ASL6,""Men Slide 6, Black White"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"126,SJ1ASL7,""Men Slide 7, Navy White"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"127,M1AZCO1,""Men Camo 1, Black"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"128,M1AZCO2,""Men Camo 2, Navy"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"129,M1AZLT1,""MEN LOONEY TUNES DAFFY 1, BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"130,M1AZSV1,""MEN COUPLE SERIES 1, JET BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"131,M1AZSV2,""MEN COUPLE SERIES 2, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"132,E3EA10,""LADIES ELSA 10, SILVER NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"133,E2AZEA10,""Ladies Elsa 10, Silver Navy V2"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"134,E2AZEA11,""Ladies Elsa 11, GingerSnap V2"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"135,E2AZEA6,""LADIES ELSA 6, JET BLACK V2"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"136,E2AZEA7,""LADIES ELSA 7, BLACK GOLD V2"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"137,L2AZCA24,""Ladies Classic 24, Teal Green"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"138,L2AZCA25,""Ladies Classic 25, Dark Grey"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"139,L2AZCA26,""Ladies Classic 26, Light Grey"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"140,L2AZCA29,""Ladies Classic 29, Navy Hotpink"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"141,L2AKIM2,""Ladies Kim 2 , Jet Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"142,L2AWG1,""Ladies Wedges 1, Black Gold V2"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"143,L2AWG4,""Ladies Wedges 4, Ginger Snap V2"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"144,L2AWG7,""Ladies Wedges 7, Silver V2"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"145,L2AZWG2,""Ladies Wedges 2, Jet Black V2"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"146,L2AZWG3,""Ladies Wedges 3, Navy V2"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"147,L2AZWG4,""Ladies Wedges 4, Ginger Snap V3"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"148,L2AZWG7,""Ladies Wedges 7, Silver V3"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"149,L2AZWG1,""LADIES WEDGES 1, BLACK GOLD V3"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"150,L2AZKIM2,""LADIES KIM 2, JET BLACK V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"151,L2AKIM3,""Ladies Kim 3 , GInggerSnap"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"152,L2AKIM4,""Ladies Kim 4, Navy Silver"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"153,L2AZKIM4,""LADIES KIM 4, NAVY SILVER V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"154,L2AZKIM3,""LADIES KIM 3, GINGERSNAP V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"155,MBLACK3,""MEN BLACK SERIES 3, COSMIC GREY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"156,SJ2AST6,""Ladies Strappy 6, Gold Cream"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"157,L2AST1,""Ladies Strappy 1, Jet Black V2"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"158,E2AEA6,""Ladies Elsa 6, Jet Black"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"159,E2AEA7,""Ladies Elsa 7, Black Glod"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"160,E2AEA8,""Ladies Elsa 8, Silver Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
