"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"446,SJ2ACL3,""Ladies Collab 3, Zuma x Gudetama Beige"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"447,SJ2ACL4,""Ladies Collab 4, Zuma x Gudetama Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"448,SJ2ACL5,""Ladies Collab 5, Zuma x Gudetama Yellow"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"449,SJ2AJO1,""Ladies Jovie 1, Zuma X Jovie Adhiguna Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"450,SJ2AJO2,""Ladies Jovie 2, Zuma X Jovie Adhiguna White"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"451,SJ2AJO3,""Ladies Jovie 3, Zuma X Jovie Adhiguna Tosca"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"452,SJ2ATP1,""Ladies Tropical 1, Twilight"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"453,SJ2ATP2,""Ladies Tropical 2, Soft Pink"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"454,L2AZLT1,""LADIES LOONEY TUNES BUGS 1, GREY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"455,L2AZLT2,""LADIES LOONEY TUNES TWEETY 2, YELLOW"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"456,SJ1KCL1,""Boys Collab 1, Zuma x Gudetama Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"457,SJ1KCL2,""Boys Collab 2, Zuma x Gudetama Yellow"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"458,SJ1KCL3,""Boys Collab 3, Disney Mickey Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"459,SJ1KCL4,""Boys Collab 4, Disney Mickey Red"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"460,SJ1KSP1,""Boys Stripe 1, Black Turquoise"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"461,SJ1KSP2,""Boys Stripe 2, Navy Red"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"462,SJ1KSP3,""Boys Stripe 3, Red Navy"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"463,SJ1KSP4,""Boys Stripe 4, Gray Orange"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"464,SJ1KSP5,""Boys Stripe 5, Tangerine-Blue"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"465,SJ1KSP6,""Boys Stripe 6, Mosaic-Blue-Navy"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"466,M1KZCL5,""BOYS COLLAB 5, SPACE JAM 01 BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"467,M1KZCL6,""BOYS COLLAB 6, SPACE JAM 01 GREY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"468,M1KZCL7,""BOYS COLLAB 7, SPACE JAM 02 ROYAL BLUE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"469,M1KZCL8,""BOYS COLLAB 8, SPACE JAM 02 TURQUOISE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"470,SJ2KCL1,""Girls Collab 1, Zuma x Gudetama Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"471,SJ2KCL2,""Girls Collab 2, Zuma x Gudetama Yellow"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"472,SJ2KCL3,""Girls Collab 3, Disney Minnie Blue"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"473,SJ2KCL4,""Girls Collab 4, Disney Minnie Coral"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"474,SJ2KSP2,""Girls Stripe 2, Navy Pink"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"475,SJ2KSP3,""Girls Stripe 3, Carnation Bachelor"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"476,SJ2KSP4,""Girls Stripe 4, Blue Fuschia"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"477,SJ2KSP5,""Girls Stripe 5, Peach Skin-Yellow"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"478,BB2BZHK1,""BABY GIRLS HELLO KITTY 1, PINK V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"479,BB2BZHK2,""BABY GIRLS HELLO KITTY 2, TOSCA V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"480,L7KSP01,""GIRLS STRIPE 1, BLACK PINK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"481,M2XR04,""MEN XANDER 4, OLIVE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"482,M2XR06,""MEN XANDER 6, BLACK BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"483,M2XR07,""MEN XANDER 7,  NAVY GREY"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"484,M1SL12,""MEN SLIDE CAMO 12, BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"485,SJ1ASP11,""MEN STRIPE 11, GRAY LIME"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"486,M1BL02,""MEN BLACK SERIES 2, PEACHOCK BLUE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"487,L2AZST1,""Ladies Strappy 1, Jet Black V3"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"488,L2AZST3,""Ladies Strappy 3, Silver Navy V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"489,L3ST05,""LADIES STRAPPY 5, GOLD BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"490,L1ST06,LADIES STRAPPY 6 GOLD CREAM,5,0,0,0,0,0,5,,,,,,,,,,,,,"
"491,L2AZPL5,""Ladies Pillow 5, Brown-Black V2"",4,0,0,0,0,0,6,,,,,,,,,,,,,"
"492,L2APL14,""Ladies Pillow 14, Twilight-Flamingo V2"",4,0,0,0,0,0,6,,,,,,,,,,,,,"
"493,K2LE01,""KIDS ZUMA LEEVIERRA,BUCKTHORN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"494,K2LE02,""KIDS ZUMA LEEVIERRA,PLAID"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"495,M1AZDL2,""MAN DALLAS 2, NAVY"",0,0,0,0,0,0,0,,,,,,,,,,,,,"
"496,BG2CA03,""BABY GIRLS CLASSIC 3,PASTEL LILAC"",0,0,0,0,0,0,0,,,,,,,,,,,,,"
"497,K2LE03,""KIDS ZUMA LEEVIERRA,SHUNSINE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"498,Z2MF02,""BABY BOYS COLLAB 2, DISNEY MICKEY & FRIENDS BLUE"",3,0,0,0,0,0,3,PO datang dari produksi,,,,,,,,,,,,"
"499,M1SL14,""MEN SLIDE MAX 14,BLACK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"500,L1ES04,""LADIES ELSA SURFER GIRL 4,OLIVE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"501,L1ES01,""LADIES ELSA SURFER GIRL 1,BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"502,L1ES02,""LADIES ELSA SURFER GIRL 2,NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"503,L1ES03,""LADIES ELSA SURFER GIRL 3,PINK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"504,M1SL16,""MEN SLIDE MAX 16,ARMY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"505,M1SL15,""MEN SLIDE 15,NAVY"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"506,M1ON08,""MEN ONYX 8,BLACK GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"507,M1ON09,""MEN ONYX 9,NAVY BLACK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"508,M1ON11,""MEN ONYX 11, TURQUOISE BLACK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"509,M1ON10,""MEN ONYX 10,NAVY NAVY"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"510,Z2MF01,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,2,2,0,19,21,252,2,,keep wilbex 5,,,,,,,,,,,"
"511,Z2MF03,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,1,31,0,0,31,372,3,,keep wilbex 20,,,,,,,,,,,"
"512,M2SM07,""MEN SUMMER 7,WAVE TARACOTA"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"513,Z2PS01,""BABY GIRLS PRINCESS SNOW WHITE 1,RED "",4,0,0,0,0,0,4,sisakan 1 box untuk fb,,,,,,,,,,,,"
"514,Z2PS02,""BABY GIRLS PRINCESS BELLE 2,YELLOW"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"515,Z2PS03,""BABY GIRLS PRINCESS ARIEL 3,GREEN"",4,1,0,0,1,12,4,Belum PO,,,,,,,,,,,,"
"516,Z2PS04,""BABY GIRLS PRINCESS CINDERELLA 4,BLUE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"517,L2SM06,""LADIES SUMMER 6,SUNSET NAVY "",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"518,L2SM05,""LADIES SUMMER 5,CAMBOJA BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"519,L2SM07,""LADIES SUMMER 7,FLAMINGOS VIVA MAGENTA"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"520,M2SM05,""MEN SUMMER 5,AMAZON BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"521,M2SM06,""MEN SUMMER 6,SUNSET NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"522,M2SM08,""MEN SUMMER 8,TURTLE TURKISH"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"523,M1ON12,""MEN ONYX Z 12, BLACK BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"524,L2SM08,""LADIES SUMMER 8, TURTLE TURKISH"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"525,L1FL07,""LADIES FLO 7, OTTER"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"526,L1FL08,""LADIES FLO 8, SPRING LAKE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"527,M1DL05,""MEN DALLAS 5, ALMOND"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"528,M1DL06,""MEN DALLAS 6, ARMY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"529,M1CA33,""MEN CLASSIC EARTH 33, MOCHA"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"530,M1CA34,""MEN CLASSIC EARTH 34, DARK GREEN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"531,M1CA35,""MEN CLASSIC EARTH 35, MACCHIATO"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"532,M1CA36,""MEN CLASSIC EARTH 36, OLIVE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"533,L1CA31,""LADIES CLASSIC EARTH 31, JADE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"534,L1CA33,""LADIES CLASSIC EARTH 33, ROSY BROWN"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"535,L1CA34,""LADIES CLASSIC EARTH 34, ROSE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"536,L1CA35,""LADIES CLASSIC EARTH 35, MACCHIATO"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"537,L1CA36,""LADIES CLASSIC EARTH 36, OCHRE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"538,L1FY01,""LADIES FREYA 1, JET BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"539,L1FY02,""LADIES FREYA 2, BLACK GOLD"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"540,L1FY03,""LADIES FREYA 3, BROWNIE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"541,L1FY04,""LADIES FREYA 4, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"542,L1FY05,""LADIES FREYA 5, NAVY SILVER"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"543,L1FY06,""LADIES FREYA 6, MUSTARD"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"544,M1CA01-B,""MEN CLASSIC 1, JET BLACK (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"545,M1SP07-B,""MEN STRIPE 7, BLACK TAN WHITE (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"546,M1CA23-B,""MEN CLASSIC 23, NAVY BLACK (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"547,M1BL03-B,""MEN BLACK SERIES 3, COSMIC GREY (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"548,M1SP01-B,""MEN STRIPE 1, BLACK BLUE RED (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"549,M1SP11-B,""MEN STRIPE 11, GRAY LIME (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"550,M1CA27-B,""MEN CLASSIC 27, GREY GREY (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"551,M1BL06-B,MEN BLACK SERIES 6 STONE BLUE (45/46),4,0,0,0,0,0,4,,,,,,,,,,,,,"
"552,M1BL05-B,""MEN BLACK SERIES 5, PEANUT (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"553,B2TS01,""BOYS TOY STORY 1, BROWN"",2,31,0,0,31,372,3,Belum PO,keep wilbex 5,,,,,,,,,,,"
"554,B2TS02,""BOYS TOY STORY 2, BLUE"",1,33,0,0,33,396,1,Ambil di Protol,keep wilbex 5,,,,,,,,,,,"
"555,Z2TS01,""BABY BOYS TOY STORY 1, BROWN"",3,76,-1,0,75,900,3,,keep wilbex 20,,,,,,,,,,,"
"556,Z2TS02,""BABY BOYS TOY STORY 2, BLUE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"557,Z2TS03,""BABY BOYS TOY STORY 3, GREEN"",3,0,94,0,94,1128,3,,keep wilbex 20,,,,,,,,,,,"
"558,Z2CA04,""BABY CLASSIC 4, NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"559,Z2CA05,""BABY CLASSIC 5, COFFEE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"560,Z2CA06,""BABY CLASSIC 6, GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"561,Z2CA07,""BABY CLASSIC 7, HONEY GINGER"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"562,Z2CA08,""BABY CLASSIC 8, NUDE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"563,Z2CA09,""BABY CLASSIC 9, SAGE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"564,M1CA24-B,""MEN CLASSIC 24, NAVY GREY (45/46)"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"565,M1HN01,""MEN HANZO 1, BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"566,M1HN02,""MEN HANZO 2, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"567,M1HN03,""MEN HANZO 3, GREEN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"568,Z2BT01,""BABY BATMAN 1, BLUE"",1,167,0,0,167,2004,1,,,,,,,,,,,,,"
"569,Z2BT02,""BABY BATMAN 2, YELLOW"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"570,L1CA37,""LADIES CLASSIC 37, NUDE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"571,L1CA38,""LADIES CLASSIC 38, SAGE "",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"572,M1BL08,""MEN BLACK SERIES 8, NAVY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"573,M1BL09,""MEN BLACK SERIES 9, ARMY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"574,M1BL10,""MEN BLACK SERIES 10, TERRACOTTA"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"575,M1SL17,""MEN SLIDE MAX 17, BLACK BLUE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"576,M1SL19,""MEN SLIDE MAX 19, MOCHA"",4,0,0,0,0,0,4,Create PO,,,,,,,,,,,,"
"577,J1CA01,""JUNIOR CLASSIC 1, BLACK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"578,J1CA04,""JUNIOR CLASSIC 4, ARMY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"579,B2CA01,""BOYS CLASSIC 1, BLACK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"580,J1CA03,""JUNIOR CLASSIC 3, NAVY"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"581,J1CA02,""JUNIOR CLASSIC 2, GREY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"582,B2CA03,""BOYS CLASSIC 3, ARMY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"583,B2CA02,""BOYS CLASSIC 2, NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"584,G2CA01,""GIRLS CLASSIC 1, NAVY"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"585,G2CA02,""GIRLS CLASSIC 2, CANDY PINK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"586,M1SP13,""MEN STRIPE 13, GREY GREEN WHITE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"587,B1SL01,""BOYS SLIDE MAX 1,  BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"588,G2CA03,""GIRLS CLASSIC 3, HAZELNUT"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"589,Z2DM02,""BABY DISNEY MICKEY 2, NAVY"",3,0,37,0,37,444,3,,keep wilbex 20,,,,,,,,,,,"
"590,Z2DM01,""BABY DISNEY MICKEY 1, RED"",3,0,0,0,0,0,3,Belum PO,,,,,,,,,,,,"
"591,Z2DI01,""BABY DISNEY MINNIE 1, LAVENDER"",1,0,42,0,42,504,3,,keep wilbex 20,,,,,,,,,,,"
"592,Z2DI02,""BABY DISNEY MINNIE 2, BLUSH NUDE"",1,0,0,0,0,0,3,,,,,,,,,,,,,"
"593,B1SL03,""BOYS SLIDE MAX 3, ARMY"",3,1,0,0,1,12,4, ,,,,,,,,,,,,"
"594,M1SL18,""MEN SLIDE MAX 18, GREY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"595,B2MMV101,""BOYS MICKEY MOUSE 1, BLACK"",1,0,0,0,0,0,3,,,,,,,,,,,,,"
"596,B2MMV102,""BOYS MICKEY MOUSE 2, MOCHA"",3,0,0,0,0,0,3,,,,,,,,,,,,,"
"597,B1SL02,""BOYS SLIDE MAX 2, NAVY"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"598,L1SPV101,""LADIES SLIDE PUFFY 1, BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"599,G2MEV101,""GIRLS MICKEY MINNIE 1, BLACK"",3,0,0,0,0,0,3,,,,,,,,,,,,,"
"600,G2MEV103,""GIRLS MICKEY MINNIE 3, ROSE"",3,53,0,0,53,636,3,PO Juni 900 ETA Agustus,keep wilbex 5,,,,,,,,,,,"
"601,M1LCV101,""MEN LUCA 1, BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"602,M1LCV102,""MEN LUCA 2, BROWN"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"603,M1LCV103,""MEN LUCA 3, GREEN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"604,M1LCV104,""MEN LUCA 4, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"605,B2MMV103,""BOYS MICKEY MOUSE 3, BLUE"",1,55,0,0,55,660,3,Open PO 1200,,,,,,,,,,,,"
"606,G2MEV102,""GIRLS MICKEY MINNIE 2, SAGE"",2,0,0,0,0,0,2,,,,,,,,,,,,,"
"607,L1LNV101,""LADIES LUNA 1, BLACK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"608,L1LNV102,""LADIES LUNA 2, MOCHA"",4,0,0,0,0,0,4,Repack protol,,,,,,,,,,,,"
"609,L1LNV103,""LADIES LUNA 3, WHITE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"610,L1LNV104,""LADIES LUNA 4, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"611,M1COV101,""MEN CLOUD 1, BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"612,M1COV102,""MEN CLOUD 2, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"613,M1COV103,""MEN CLOUD 3, ALMOND"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"614,M1COV104,""MEN CLOUD 4, TEAL BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"615,M1COV105,""MEN CLOUD 5, BLACK GREY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"616,M1COV106,""MEN CLOUD 6, ARMY KHAKI"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"617,L1CAV137,""LADIES CLASSIC 37, NUDE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"618,L1CAV138,""LADIES CLASSIC 38, SAGE"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"619,Z2CAV104,""BABY CLASSIC 4, NAVY"",1,1,0,123,124,1488,1,,keep wilbex 2,,,,,,,,,,,"
"620,L1WGV104,""LADIES WEDGES 4, GINGER SNAP"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"621,L1WGV103,""LADIES WEDGES 3, NAVY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"622,M1CAV123,""MEN CLASSIC 23, NAVY BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"623,M1SPV107,""MEN STRIPE 7, BLACK TAN WHITE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"624,L1EAV111,""LADIES ELSA 11, GINGERSNAP"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"625,M1SPV108,""MEN STRIPE 8, TWILIGHT RED WHITE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"626,L1SPV103,""LADIES SLIDE PUFFY 3, SILVER"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"627,L1SPV102,""LADIES SLIDE PUFFY 2, REDWOOD"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"628,L1SPV104,""LADIES SLIDE PUFFY 4, NAVY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"629,L1SPV105,""LADIES SLIDE PUFFY 5, OTTER"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"630,L1EAV110,""LADIES ELSA 10, SILVER NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"631,M2SMV310,""MEN SUMMER 10, BANANA BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"632,M2SMV311,""MEN SUMMER 11, DEEP TEAL"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"633,L2SMV309,""LADIES SUMMER 9, FOREST BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"634,M2SMV309,""MEN SUMMER 9, JUNGLE BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"635,M2SMV312,""MEN SUMMER 12, PALM NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"636,L2SMV310,""LADIES SUMMER 10, FLORAL NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"637,M1SPV101,""MEN STRIPE 1, BLACK BLUE RED"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"638,L1CAV122,""LADIES CLASSIC 22, NAVY NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"639,L2SMV311,""LADIES SUMMER 11, AQUA HAZE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"640,L1CMV105,""LADIES CLASSIC METALIC 05, TEAL GREEN"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"641,L1WGV102,""LADIES WEDGES 2, JET BLACK"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"642,L2SMV312,""LADIES SUMMER 12, BRIDAL BLUSH"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"643,M1SPV110,""MEN STRIPE 10, ALMOND BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"644,L1EAV112,""LADIES ELSA 12, BROWINE GOLD"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"645,M1DLV101,MEN DALLAS 1 JET BLACK,1,59,0,0,59,708,1,,,,,,,,,,,,,"
"646,L1FLV101,""LADIES FLO 1, BLACK"",1,108,0,0,108,1296,1,,,,,,,,,,,,,"
"647,L1FLV103,""LADIES FLO 3, LIGHT BROWN"",1,90,0,0,90,1080,2,,,,,,,,,,,,,"
"648,Z2CAV107,""BABY CLASSIC 7, HONEY GINGER"",2,0,0,40,40,480,2,,,,,,,,,,,,,"
"649,L1WIV101,""LADIES WEDGES IRIS 1, BLACK"",3,5,0,0,5,60,4,,,,,,,,,,,,,"
"650,L1WIV102,""LADIES WEDGES IRIS 2, MIDNIGHT BLUE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"651,L1WIV103,""LADIES WEDGES IRIS 3, DUSTY PINK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"652,L1WIV104,""LADIES WEDGES IRIS 4, BEIGE"",4,0,0,0,0,0,4,Create PO,,,,,,,,,,,,"
"653,M1CAV101,""MEN CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"654,L1CAV101,""LADIES CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"655,L1CMV104,""LADIES CLASSIC METALIC 4, GINGER SNAP"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"656,L1CMV101,""LADIES CLASSIC METALIC 1, BLACK GOLD"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"657,L1CAV134,""LADIES CLASSIC EARTH 34, ROSE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"658,Z2CAV105,""BABY CLASSIC 5, COFFEE"",1,80,0,0,80,960,2,,keep wilbex 20,,,,,,,,,,,"
"659,Z2CAV106,""BABY CLASSIC 6, GREY"",1,0,0,0,0,0,3,,,,,,,,,,,,,"
"660,L1EAV207,""LADIES ELSA 7, BLACK GOLD"",2,0,0,0,0,0,3,,,,,,,,,,,,,"
"661,G2CAV201,""GIRLS CLASSIC 1, NAVY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"662,G2CAV202,""GIRLS CLASSIC 2, CANDY PINK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"663,M1SPV111,""MEN STRIPE 11, GRAY LIME"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"664,M1BLV109,""MEN BLACK SERIES 9, ARMY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"665,Z2CAV109,""BABY CLASSIC 9, SAGE"",2,71,0,50,121,1452,2,,keep wilbex 20,,,,,,,,,,,"
"666,Z2CAV108,""BABY CLASSIC 8, NUDE"",2,0,0,0,0,0,2,,,,,,,,,,,,,"
"667,L1EAV210,""LADIES ELSA 10, SILVER NAVY"",1,0,0,0,0,0,1,,,,,,,,,,,,,"
"668,L1EAV211,""LADIES ELSA 11, GINGERSNAP"",1,1,0,0,1,12,1,,,,,,,,,,,,,"
